time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.613671	0.449288	3.17049	-0.166495	-0.135512	radar	197.288	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.805794	0.46505	3.36722	-0.140159	-0.109363	lidar	6.65679	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.06698	0.442168	4.80294	-0.114185	-0.071317	radar	6.37868	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.35233	0.448316	4.99922	-0.0958747	-0.0557861	lidar	6.23	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.63544	0.464734	5.38669	-0.0553156	-0.00660451	radar	1.65148	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.94793	0.477594	5.52339	-0.0393515	0.00666733	lidar	4.56365	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.19282	0.531279	5.19424	0.0174631	0.0793686	radar	3.58638	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.48508	0.555375	5.28783	0.0313103	0.0887992	lidar	2.17383	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.75284	0.581491	5.27254	0.0477956	0.105146	radar	0.523564	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.0155	0.600992	5.27	0.0575132	0.111839	lidar	0.0683611	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.29475	0.564885	5.25185	0.0257256	0.0519802	radar	2.66846	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.61367	0.527685	5.41113	-0.00682669	-0.00870495	lidar	6.68613	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.89815	0.561581	5.48113	0.0149572	0.0282933	radar	1.91232	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.19559	0.567686	5.54411	0.0156031	0.0260467	lidar	0.701699	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.45656	0.596327	5.23315	0.03169	0.0513077	radar	1.00517	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.65066	0.674683	5.05674	0.0826195	0.138233	lidar	7.80675	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.90675	0.680943	4.89843	0.0792145	0.119758	radar	1.29485	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.21619	0.6845	5.06371	0.0702897	0.0924487	lidar	5.04373	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.47706	0.695872	5.35481	0.070517	0.0852992	radar	1.07819	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.7932	0.710041	5.47989	0.0682769	0.0734022	lidar	2.83191	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.03556	0.656043	5.0055	0.0278144	-0.0024631	radar	3.86728	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.29157	0.745411	5.02986	0.0781835	0.0824101	lidar	2.71446	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.54377	0.777104	5.02357	0.0893183	0.094052	radar	0.156579	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.79259	0.77394	5.01709	0.0781208	0.0680121	lidar	0.234102	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.03805	0.761976	4.74297	0.0620479	0.0361134	radar	1.5537	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.24697	0.835634	4.6843	0.101212	0.0959905	lidar	1.64126	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.5481	0.850634	5.35315	0.0964193	0.0804778	radar	4.71805	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.81482	0.825162	5.3437	0.0691069	0.0310683	lidar	0.746919	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.06613	0.843136	4.89127	0.0705671	0.0303374	radar	2.05307	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.29877	0.854667	4.86349	0.0691939	0.0258931	lidar	0.151672	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.56967	0.947835	5.44672	0.115202	0.0955165	radar	5.04247	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.8213	1.00582	5.40667	0.136455	0.121054	lidar	0.442451	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.11674	1.04803	5.32394	0.143788	0.12294	radar	6.93974	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.35793	1.07569	5.26663	0.144857	0.115347	lidar	0.605514	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64053	1.15667	5.34529	0.173423	0.150191	radar	4.1505	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92358	1.29061	5.43193	0.228826	0.222884	lidar	2.48025	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1717	1.38664	4.9902	0.26213	0.258329	radar	3.58914	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3821	1.45909	4.92216	0.281269	0.268063	lidar	0.958789	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6154	1.54108	4.70687	0.303148	0.28166	radar	1.46705	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8234	1.55628	4.62607	0.286985	0.236448	lidar	1.17819	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.0942	1.61127	5.10994	0.284015	0.212976	radar	2.69515	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3851	1.65175	5.19787	0.270512	0.176627	lidar	2.34521	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6148	1.70437	4.96387	0.272371	0.166583	radar	0.641165	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8401	1.76424	4.92726	0.277824	0.162227	lidar	0.223053	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.0978	1.86198	5.27267	0.298853	0.180855	radar	1.04944	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3489	1.8806	5.22612	0.273828	0.13004	lidar	0.708143	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.605	1.94078	5.33549	0.272825	0.118436	radar	0.299412	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8063	2.08671	5.26053	0.326976	0.189706	lidar	3.18787	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0742	2.20918	5.51285	0.35338	0.214223	radar	1.94358	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2828	2.35598	5.44361	0.398401	0.264851	lidar	2.34822	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4539	2.50563	4.81834	0.451016	0.32713	radar	9.3267	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.6992	2.61081	4.88587	0.461779	0.319076	lidar	1.02185	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9187	2.72461	4.98939	0.478164	0.318981	radar	0.125653	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1477	2.8783	5.05723	0.512383	0.345981	lidar	0.48756	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.3973	3.00344	5.42828	0.519752	0.328552	radar	0.793872	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6099	3.05368	5.25992	0.494869	0.267095	lidar	2.6292	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8383	3.22777	5.41725	0.53273	0.303051	radar	2.92248	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
